Geosas Piotr Sasin #         geosas@wp.pl     #502 248 931
Geoma Geodezja i Wycena Nieruchomości Małgorzata Bojanowska-Wołczko #         geoma@vp.pl     #608 474 140
Geomaapa.Eu Usługi Geodezyjne Maciej Mońko #         mmonko@poczta.onet.pl     #693 157 286
Geo-Maat S.C. Przedsiębiorstwo Geodezyjno-Kartograficzne Adam Tomaszewski Marek Ambroziak ##(22) 755 54 65
Geomac Usługi Geodezyjno-Kartograficzne i Biurowe-Obsługa Inwestycji Piotr Makowski ##691 886 513
Geo-Mach Macherzyński Maciej Usługi Geodezyjno - Kartograficzne #         geo-mach@wp.pl     #693 067 365
Geo-Mad #         geo_mad@op.pl     #604 168 013
Geomad Usługi Geodezyjno-Kartograficzne Marcin Domagała #         geodezja.mad@gmail.com     #505 253 668
Geomag Magdalena Nowak ##608 551 354
Geomag Tomasz Nowak #         tnowakgeo@wp.pl     #(74) 850 28 74
Geomag Usługi Geodezyjne Rafał Grzybczak ##(41) 356 51 54
Geo-Maj Usługi Geodezyjno-Kartograficzne Majtczak Piotr #         p.majtczak@geomaj.pl     #792 082 351
Geo-Mak Usługi Geodezyjne Paweł Maksym ##608 700 434
Geo-Maks Robert Pichola #         geo-maks@wp.pl     #501 268 253
Geomal Usługi Geodezyjne Tomasz Malina, Adam Płachciak S.C. #         biuro@geomal.pl     #Oceń firmę i napisz o niej opinię:
Geoman Usługi Geodezyjne inż. Łukasz Kucharski #         geoman@geodeta.pl     #509 998 817
Geomap #         jbezdzietny@gmail.com     #609 145 510
GEOMap #         biuro@geodeta.stargard.pl     #605 281 693
Geomap - Usługi Geodezyjne i Kartograficzne Beata Wiśniewska-Gac #         geomap.lukow@gmail.com     #Oceń firmę i napisz o niej opinię:
Geomap Andrzej Wróblewski ##607 334 853
Geo-Map Biuro Geodezyjno-Kartograficzne #         biuro@geomap.pulawy.pl     #(81) 888 31 71
Geomap Biuro Usług Geodezyjnych Sławomir Jasiński #         biuro@geomap-wolsztyn.pl     #503 868 713
GeoMap Geodeci Uprawnieni ##(25) 633 30 89
Geomap Geodezja Marcin Łanoszka #         mlanoszka@interia.pl     #600 485 136
Geomap Geodezja Marta Gondek #         geomap.geodezja@wp.pl     #508 354 009
Geomap Grzegorz Wójcik #         geomapgw@wp.pl     #508 214 680
Geomap Grzegorz Wójcik #         geomapgw@wp.pl     #502 663 945
Geomap JR S.C. Usługi Geodezyjne i Kartograficzne Józef Kusek Rafał Zając ##(17) 774 01 11
GEOMAP Mariusz Piotr Ignaszewski #         m.ignaszewski@geomap-geodezja.pl     #604 641 672
Geomap Mieczysław Kapustka i Wspólnicy S.C. #         geomap.debica@vp.pl     #722 393 707
Geomap ProjektUsługi Geodezyjne i Projektowe Edward Gleń ##(44) 731 34 68
Geomap Rafał Pijanowski #         geomap.pila@wp.pl     #(67) 213 50 15
Geo-Map S.C. Bartłomiej Roliński Biuro Usług Geodezyjnych Teresa Chrzanowska Bartłomiej Roliński #         geomap22@tlen.pl     #(67) 381 88 66
Geomap S.C. Leszek Chromik Michał Kaczmarek #         geomap-katowice@wp.pl     #608 023 666
Geomap S.C. Leszek Chromik Michał Kaczmarek ##600 427 275
Geomap S.C. Pracownia Usług Geodezyjno-Kartograficznych Janusz Kaczmarek Mariusz Kretkowski ##(61) 436 44 78
Geomap S.C. Pracownia Usług Geodezyjno-Kartograficznych K. Majewski K. Kuczyński M. Korcz J. Kruszewski #         geomap@wp.pl     #(87) 621 19 64
Geomap S.C. Przedsiębiorstwo Geodezyjno-Kartograficzne Kryspin Engel Bogdan Nowakowski ##603 197 800
Geomap S.C. Usługi Geodezyjne i Projektowe Marcin Baj Piotr Pawelec #         geomap2007@tlen.pl     #608 029 846
Geo-Map S.C. Usługi Geodezyjne Wacław Raczyński Andrzej Błaż #         geomap@wp.pl     #(13) 434 03 30
Geomap Spółka Cywilna Andrzej Klimczak Marek Osumek #         geomap@geomap.kki.pl     #(44) 685 00 80
GEOMAP Sylwester Paluch #         geomapsp@o2.pl     #530 989 444
Geomap Usługi Geodezyjne Bogumił Stępak #         bogumils@poczta.fm     #608 401 906
Geomap Usługi Geodezyjne Inż. Łukasz Zabłocki #         lukaszzablo@op.pl     #Oceń firmę i napisz o niej opinię:
Geo-Map Usługi Geodezyjne Jacek Fabisiak ##(29) 717 60 83
Geomap Usługi Geodezyjne Łukasz Piątek ##(81) 827 31 70
Geo-Map Usługi Geodezyjne Mariusz Słotwiński #         mslotwinski.geo-map@o2.pl     #Oceń firmę i napisz o niej opinię:
Geomap Usługi Geodezyjne Mateusz Krahel #         krahelmateusz@gmail.com     #Oceń firmę i napisz o niej opinię:
Geomap Usługi Geodezyjne Zbigniew Wiśniewski #         wisniewski66@op.pl     #Oceń firmę i napisz o niej opinię:
Geomap Usługi Geodezyjno-Inżynieryjne Magdalena Czaicka ##791 764 760
Geo-Map Usługi Geodezyjno-Kartograficzne Dawid Budzeń #         dawid.budzen@gmail.com     #504 305 088
GEO-MAP Usługi Geodezyjno-Kartograficzne Grzegorz Drabik #         biuro@geo-map.com.pl     #605 230 681
Geo-Mapa Biuro Geodezji #         kpienko@op.pl     #(83) 354 21 18
Geomapa Biuro Usług Geodezyjnych Olga Dudek #         olga.dudek@onet.pl     #(59) 843 08 91
Geo-Mapa F.H.U.Mirosław Słupecki #         geomapasierpc@wp.pl     #604 337 458
Geo-Mapa Usługi Geodezycjo-Kartograficzne Danuta Mucha ##791 112 344
Geomapa Usługi Geodezyjne Marek Paszt #         geomapa.lublin@gmail.com     #Oceń firmę i napisz o niej opinię:
Geo-Mapa Usługi Geodezyjne Paweł Pogoda #         geo-mapa@o2.pl     #608 412 450
Geomapa Usługi Geodezyjne Wiesław Mazur ##692 409 387
GeoMapa Usługi Geodezyjno-Kartograficzne Marcin Bzodek ##502 254 711
Geomapa Zakład Usług Geodezyjnych Stanisław Dutka #         geomapa@poczta.onet.pl     #(91) 418 36 27
Geomapex Usługi Geodezyjne Piotr Gaik #         piotr-gaik@o2.pl     #696 287 070
Geomapka Usługi Geodezyjne Łukasz Paciorek #         geomapka@op.pl     #604 531 118
Geomar Biuro Projektowo - Pomiarowe Krzysztof Markiewicz #         krzysiekmarkiewicz@interia.pl     #798 712 733
Geo-Mar Inż. Mariusz Wierzchołowski ##606 265 061
Geo-Mar Karol Marchewka #         karol.marchewka1@gmail.com     #506 510 667
Geo-Mar Marek Latawiec #         geomar@data.pl     #887 666 111
Geomar Paweł Marcinkowski #         geomar.marcinkowski@interia.pl     #Oceń firmę i napisz o niej opinię:
Geomar Usługi Geodezyjne #         geomar@op.pl     #602 585 735
Geo-Mar Usługi Geodezyjne #         biuro@geo-mar.com.pl     #504 054 953
Geo-Mar Usługi Geodezyjne i Kartograficzne Mariusz Rogowski #         geomar8@wp.pl     #604 772 320
Geomar Usługi Geodezyjne inż. Grzegorz Marszał #         marszal.geodeta@gmail.com     #Oceń firmę i napisz o niej opinię:
Geo-Mar Usługi Geodezyjne Marcin Adamus ##506 116 372
Geomar Usługi Geodezyjne Marcin Krywalski ##695 373 265
GEOMAR Usługi Geodezyjne Marcin Piłat #         marcin.geomar@gmail.com     #880 429 983
Geo-Mar Usługi Geodezyjne Marcin Przybylski ##608 649 436
Geo-Mar Usługi Geodezyjne Marek Pejaś ##606 370 231
GEOMAR Usługi Geodezyjne Marek Strześniewski #         marekgeodezja@interia.pl     #501 348 725
Geomar Usługi Geodezyjne Mariusz Ostrowski #         geomar@geomar.waw.pl     #507 181 835
Geo-Mar Usługi Geodezyjno-Kartograficzne #         geo_mar@op.pl     #662 097 106
Geo-Mard Usługi Geodezyjno-Kartograficzne Grzegorz Mardosiewicz #         grzegorzm1983@interia.pl     #508 239 035
Geomarex Geodezja i Kartografia Marek Sobociński #         biuro@geomarex.pl     #605 668 288
Geo-Marine Przedsiębiorstwo Usług Geodezyjno-Kartograficznych #         info@geomarine.com.pl     #(42) 633 66 82
Geo-Mark Firma Geodezyjna Mariusz Konca #         geomark603@gmail.com     #603 779 236
Geomark Marek Pisarek ##604 438 551
Geomark Marek Pisarek #         geodeta@geomark.eu     #604 438 551
Geomark Pracownia Gedezyjna Marek Borsukiewicz #         geomarkmb@wp.pl     #(87) 610 31 76
Geomark Pracownia Geodezyjno-Kartograficzna Marek Nowak #         geomark.nidzica@op.pl     #(89) 625 25 53
Geomark Usługi Geodezyjne Marek Maj #         biuro@geomark.org     #Oceń firmę i napisz o niej opinię:
Geomark Usługi Geodezyjne Marek Wodzyński #         lukaszwodzynski@op.pl     #(22) 857 55 74
Geo-Marka Usługi Geodezyjne Marek Kacprzyk #         geo-marka@o2.pl     #603 974 900
Geomarko Marek Grodzicki #         geo.marko@wp.pl     #(54) 280 60 51
Geomarko S.C. Usługi Geodezyjne Teresa Kotas Marek Oleksy #         olek@poczta.okay.pl     #(14) 663 07 86
Geomark-Przedsiębiorstwo Usług Geodezyjno-Kartograficznych Marek Wybraniec ##(32) 301 44 90
Geomart-Geodezja Usługi Geodezyjno-Kartograficzne #         mpanczew@poczta.onet.pl     #534 682 649
Geo-Master S.C. Biuro Usług Geodezyjno-Kartograficznych Tomasz Sterkowicz Łukasz Magoń #         tsterkowicz@gmail.com     #606 347 750
Geo-Master Usługi Geodezyjne Grzegorz Cebulski #         grzegorzcebulski@prokonto.pl     #601 912 324
Geomaster Usługi Geodezyjno-Kartograficzne Bartosz Grzeleński #         geomaster@geomaster.pl     #608 370 920
Geo-Mat Firma Usługowo-Handlowa Tomasz Mika ##(12) 346 47 07
Geo-Mat Konin Inż. Mateusz Sipa #         geomatkonin@gmail.com     #725 596 750
GEO-MAT Maciej Tomaszyk #         geo-mat.geodezja@wp.pl     #601 923 836
GEOMAT Pracownia Geodezyjna #         geomat@onet.eu     #500 502 482
Geomat Usługi Geodezyjne i Kartograficzne Grzegorz Matuszak #         geomat_geodezja@op.pl     #668 123 559
Geomat Usługi Geodezyjne Marcin Matczuk #         biuro@olsztyngeodeta.pl     #510 403 061
Geomat Usługi Geodezyjne Sp. z o.o. #         l.matkowski@interia.pl     #Oceń firmę i napisz o niej opinię:
Geomate Agata Mateja #         matejaaa@op.pl     #Oceń firmę i napisz o niej opinię:
Geomati Izabela Filak Biuro Geodezyjno-Prokektowe #         geomati@onet.pl     #886 255 011
Geomatic Michał Wyczałek #         michal.wyczalek@gmail.com     #508 624 621
Geomatics Pracownia Geodezyjna Beata Oleksińska #         geomatics.geodezja@gmail.com     #Oceń firmę i napisz o niej opinię:
Geomatics Usługi Geodezyjno-Projektowe Piotr Dadej #         piotrek_dadej@o2.pl     #502 283 601
Geomatik Usługi Geodezyjno-Kartograficzne Ludmiła Grzegorowska ##502 459 839
Geomatix Sp. z o.o. #         info@geomatix.com.pl     #(32) 781 51 38
Geo-Matt Usługi Geodezyjne Mateusz Pruszkowski #         biuro@geo-matt.pl     #501 592 836
Geomatyka ##(22) 891 11 87
Geomax Łukasz Kacorzyk #         biuro@geomax.beskidy.pl     #504 292 643
Geomax Maciej Radczyc #         geomax@geomax.net.pl     #501 444 823
Geomax Piotr Rogiński #         geomax.geodezja@o2.pl     #662 003 492
Geomax Przedsiębiorstwo Geodezyjne #         geomax@mdi.pl     #(24) 235 59 49
Geo-Max Przedsiębiorstwo Geodezyjne Radosław Woźniak ##509 853 100
Geomax Przedsiębiorstwo Usług Geodezyjnych Janusz Hoffman ##505 674 726
Geomax Przedsiębiorstwo Usługowo-Handlowe Mirosław Łuczkiw #         puhgeomax@wp.pl     #604 442 907
Geomax S.C. Małopolskie Centrum Inicjatyw Gospodarczych ##505 180 067
Geomax Trojan Zbigniew ##602 395 231
Geomax Usługi Geodezyjne Andrzej Sochacki ##603 178 600
Geo-Max Usługi Geodezyjne Piotr Ciuborski ##794 929 852
Geomaximus Wiesław Czaja #         geomaximusrzeszow@gmail.com     #Oceń firmę i napisz o niej opinię:
Geomaz Biuro Geodezyjne Michał Mazur #         biuro@geomaz.pl     #608 635 297
Geo-Med Piotr Kośmider #         piokosm@wp.pl     #501 505 899
Geo-Med S.C. Przedsiębiorstwo Usługowo-Handlowe Biuro Usług Geodezyjnych #         geomed@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Geo-Mes S.C. Firma Geodezyjno-Kartograficzna ##(82) 572 12 07
Geomet Biuro Geodezji i Nieruchomości Rajmund Zakrzewski ##(89) 535 24 19
Geometer #         geodezja@onet.pl     #(33) 873 74 83
Geometer Andrzejewski Leszek - Andrzejewski Leszek ##501 269 130
Geometr Biuro Geodezyjne #         geometr@onet.pl     #Oceń firmę i napisz o niej opinię:
Geo-Metr Biuro Usług Geodezyjno-Kartograficznych ##604 904 843
Geo-Metr Biuro Usług Geodezyjno-Kartograficznych #         biuro@geo-metr.pl     #604 904 843
Geometr Jerzy Kawczyński #         geometrbydg@poczta.onet.pl     #(52) 345 13 08
Geo-Metr Mariola Domantowicz #         geometr.domantowicz@op.pl     #602 388 582
Geometr Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych Paweł Duszak #         pduszak@wp.pl     #Oceń firmę i napisz o niej opinię:
Geometr Rafał Kornacki ##501 303 724
Geometr S.C. Biuro Usług Geodezyjno-Kartograficznych #         geometr@post.pl     #(58) 530 03 50
Geometr S.C. Pracownia Geodezyjno-Kartograficzna #         geometr@wp.pl     #(17) 225 66 92
Geometr S.C. Pracownia Usług Geodezyjnych #         geometer2000@wp.pl     #(15) 822 15 57
Geometr S.C. Usługi Geodezyjne Marek Wołyniec Jarosław Woronko #         geometr23@vp.pl     #(85) 711 98 66
Geometr Sp. z o.o. ##(52) 345 13 08
Geometr Tomasz Dworzak #         cufe@op.pl     #608 524 702
Geometr Usługi Geodezyjne #         wcislorafal@interia.pl     #(18) 266 45 33
Geometr Usługi Geodezyjne ##(86) 278 35 90
Geometr Usługi Geodezyjne Dariusz Buchowiec #         biuro@geometr.pro     #696 061 894
Geometr Usługi Geodezyjne Elżbieta Stefańska Krzysztof Stefański #         kstefanski@gazeta.pl     #(32) 623 35 02
Geometr Usługi Geodezyjne i Kartograficzne Dominika Dziewońska #         geometr.geodezja@gmail.com     #663 935 332
Geometr Usługi Geodezyjne Jan Hynowski ##(14) 686 70 33
Geo-Metr Usługi Geodezyjno-Kartograficzne #         geometr1@wp.pl     #(48) 612 53 21
Geometr Zakład Usług Geodezyjnych S. Wołowski #         wolowski@op.pl     #601 214 385
Geometra Biuro Usług Geodezyjnych #         zm@geometra.pl     #(76) 833 50 88
Geometra Biuro Usługowe Aleksy Zalwert #         biuro.geometra@gmail.com     #(67) 282 91 07
Geometra Hypka Małgorzata #         malgorzatahypka@gmail.com     #693 181 723
Geometra Lidia Sumińska #         geodezja.geometra@gmail.com     #(55) 279 47 36
Geometra Mgr Inż. Andrzej Żychliński Usługi Geodezyjne #         geometra1998@wp.pl     #603 203 206
Geometra Przedsiębiorstwo Usług Geodezyjnych Piotr Skawiński #         biuro@geometra.krakow.pl     #(12) 634 38 30
Geometra Przedsiębiorstwo Wielobranżowe #         geometrapw@wp.pl     #(68) 385 42 31
Geometra S.C. Usługi Geodezyjne #         geometra.1998@gmail.com     #515 131 865
Geometra S.C. Zakład Usług Geodezyjnych #         geometra@poczta.pl     #Oceń firmę i napisz o niej opinię:
Geometra Sławomir Dziuba Biuro Usług Geodezyjno-Projektowych Sławomir Dziuba #         biuro@geometra.chojnice.pl     #509 588 183
Geometra Usługi Geodezyjne #         geometra-gdansk@wp.pl     #501 538 360
Geometrico Firma Usługowo-Handlowa Sylwester Kacprzyk #         s.kacprzykgeodezja@poczta.onet.pl     #660 615 446
Geometricus S.C. Marcin Szczechura Wojciech Fabisiak #         biuro@geometricus.pl     #Oceń firmę i napisz o niej opinię:
Geometrix Wojciech Lulka ##604 443 911
Geo-Metron Usługi Geodezyjne #         biuro.geometron@gmail.com     #510 803 789
Geomewa Damian Malinowski #         geomewa@wp.pl     #604 970 236
Geomex Przedsiębiorstwo Geodezyjne ##(41) 362 32 81
Geomi Przedsiębiorstwo Geodezyjne inż. Wojciech Łobko #         geomi@interia.pl     #501 433 860
Geomi Usługi Geodezyjne i Kartograficzne Mariusz Iwański #         geomi@op.pl     #723 416 095
Geo-Miar Jacek Rosenstrauch ##607 337 881
Geomiar Pracownia Geodezyjna Antoni Bednarski , Maciej Ciniewski , Grzegorz Bednarski , Michał Bednarski #         geomiar@geomiar.pl     #Oceń firmę i napisz o niej opinię:
Geomiar Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych Tomasz Gasek ##694 173 618
Geomiar S.C. Pracownia Geodezyjna #         geomiar@geomiar.pl     #(42) 215 50 55
Geomiar S.C. Zakład Geodezyjny #         geomiarc@o2.pl     #(23) 672 59 32
Geomiar Usługi Geodezyjne i Kartograficzne Marek Zabłocki #         geomiar2@poczta.fm     #601 202 590
Geomiar Usługi Geodezyjne i Kartograficzne Paweł Antoszkiewicz #         pawelantoszkiewicz@interia.pl     #509 849 340
Geomiar Usługi Geodezyjne i Kartograficzne T. Zabłocka W. Węgiel #         geomiar2@poczta.fm     #601 532 590
Geomiar-Geodezja Janusz Gawlik #         geomiar@gmail.com     #507 128 883
Geomido Zakład Usług Geodezyjnych i Inżynierskich #         geomido@geomido.pl     #509 949 883
Geo-Miernik Wiktor Siwiński #         geomiernik.zabrze@interia.pl     #502 538 087
Geomierz Przedsiębiorstwo Usług Geodezyjno-Kartograficznych J. Bobrownicki P. Bobrownicki #         geomierz@wp.pl     #606 252 041
Geo-Międzyrzecz Maciej Bublewicz #         maciej-bublewicz@wp.pl     #607 756 619
Geomik Marcin Kowalik #         marcin.kowalik.337@gmail.com     #602 598 696
Geo-Mik S.C. Przedsiębiorstwo Geodezyjno-Kartograficzne ##(65) 520 47 06
Geo-MIL Emil Okuń #         emil@geomil.pl     #608 438 875
Geomil Usługi Geodezyjne Szymon Przodo #         geomilbusko@gmail.com     #692 452 148
Geomir Mariusz Mirczuk #         mariuszmirczuk@wp.pl     #502 873 310
Geomir Mirosław Kubski ##605 305 366
Geomix Biuro Usług Geodezyjnych i Kartograficznych Wiesław Kozioł ##(87) 425 25 96
Geo-MIX PHU Dominik Boroń ##519 465 787
GeoModern A. Klimes Sp.j. #         geomodern@geomodern.pl     #691 773 873
Geomos Maciej Moska ##668 057 057
Geo-Mount Usługi Geodezyjne #         sadzik95@wp.pl     #Oceń firmę i napisz o niej opinię:
Geo-Muc Firma Geodezyjna Artur Muc #         geo.muc@interia.pl     #(32) 220 75 03
Geo-Muz Zakład Usługowy J. Mucha #         muchajacek@op.pl     #509 587 402
Geo-Muz Zakład Usługowy Jacek Mucha #         muchajacek@op.pl     #Oceń firmę i napisz o niej opinię:
Geona Pracownia Geodezyjna #         geona.radom@gazeta.pl     #(48) 363 23 50
Geonadir Łukasz Benit #         lukaszbenit@interia.pl     #693 420 100
Geo-Nadir Robert Wojnarowicz #         geonadir@interia.eu     #603 095 892
Geonadzór Pracownia Usług Geodezyjnych Przemysław Zalewski #         geonadzor.zalewscy@gmail.com     #695 587 505
Geo-Nat Grzegorz Wiesław Kania #         geonat@geonat.pl     #505 956 117
Geo-Nat Grzegorz Wiesław Kania #         geo-nat@wp.pl     #505 956 117
Geonav Usługi Geodezyjne Grzegorz Ćmiel #         geodezja@geonav.pl     #789 194 294
Geo-Nav Usługi Geodezyjne i Projektowe Krzysztof Puszczyk ##602 488 126
Geo-Ndg Usługi Geodezyjne Inż. Wojciech Zalewski #         wojtek.zalewski@wp.pl     #Oceń firmę i napisz o niej opinię:
Geonet Andrzej Hławka ##(63) 275 13 20
Geo-Net Halina Cisoń #         geonet.hc@gmail.com     #697 168 823
Geo-Net Paweł Gonet #         gonet@geodeta.pl     #604 504 097
Geonet Piotr Krysiak ##606 471 147
Geo-Net Pracownia Geodezyjna Krzysztof Bogdan ##601 647 239
Geonet S.C. Adam Brodawka Usługi Geodezyjne ##(89) 648 72 73
Geonet S.C. Usługi Geodezyjne Adam Brodawka Robert Panek #         geonet@vp.pl     #(89) 648 72 73
Geonet Studio Geodezyjne #         info@geonet.waw.pl     #606 857 755
Geonet Usługi Geodezyjno-Kartograficzne Dariusz Kotynia #         darekgeodeta@gmail.com     #Oceń firmę i napisz o niej opinię:
Geonet Usługi Geodezyjno-Kartograficzne Inż. Paweł Woźniak ##500 289 600
Geo-New Usługi Geodezyjne Konstanty Wawreszuk #         geodezja_wakos@onet.pl     #573 958 094
Geo-Nier Sojka Krzysztof Sojka ##602 481 465
Geonikom Spółka Cywilna Hanna Włodarska-Marczenko Zbigniew Marczenko #         geonikom@gmail.com     #507 073 103
GEONIS Sp. z o.o. #         biuro@geonis.pl     #Oceń firmę i napisz o niej opinię:
Geonit Usługi Geodezyjne i Kartograficzne Mateusz Zadroga #         geonit@o2.pl     #504 963 544
GEO-NIT Usługi Geodezyjne inż. Krzysztof Nitka #         geodezja.geonit@gmail.com     #667 748 606
Geonom. Geodezja i kartografia. Lorenc M. ##507 083 754
Geonom Marcin Lorenc #         173034@wp.pl     #507 083 754
Geonord Biuro Usług Geodezyjnych ##602 689 990
Geo-Nord S.C. Usługi Geodezyjno-Kartograficzne #         biuro@geonord.eu     #Oceń firmę i napisz o niej opinię:
Geonorth Krzysztof Babiak ##606 222 783
Geonova Leszek Nowak #         geonova@op.pl     #502 246 387
Geonova Łukasz Kozłowski ##668 462 150
Geonova Usługi Geodezyjne Kamil Zaryczny #         geonova@vp.pl     #605 851 402
Geo-Office Kamila Szepieniec ##790 205 305
Geooffice Usługi Geodezyjne Artur Rąpel ##534 287 818
Geooffice Usługi Geodezyjne Artur Rąpel #         biuro@geooffice.pro     #534 287 818
Geooffice Usługi Geodezyjno-Kartograficzne Piotr Bralla #         biuro@geooffice.ustka.pl     #601 347 016
Geooffset Usługi Geodezyjne - Krzysztof Dąbrowski #         geooffset.biuro@gmail.com     #Oceń firmę i napisz o niej opinię:
GEO-OMNIA #         biuro@geo-omnia.pl     #668 415 486
GeoOn Bartłomiej Skoczyk #         biuro@geoon.pl     #730 064 263
Geo-Pajm Firma Produkcyjno-Handlowo-Usługowa Paweł Sajdak ##(14) 613 31 25
Geopak Piotr Kurowski ##604 296 316
Geopakt Usługi Geodezyjne ##(22) 669 78 36
Geopakt Usługi Geodezyjne ##(22) 833 05 76
Geo-Part Pracownia Geodezyjna Marcin Turek i Aleksandra Kluska S.C. #         a.kluska@geo-part.pl     #730 065 248
GeoPartner #         biuro@geopartner.org.pl     #506 515 783
Geopartner Inżynieria Sp. z o.o. #         geopartner@geopartner.gda.pl     #507 788 913
Geo-Partner Piotr Wrochna Usługi Geodezyjne #         geo-piotrw@wp.pl     #793 387 448
Geopartner Sp. z o.o. Sp. k. #         geopartner@geopartner.gda.pl     #Oceń firmę i napisz o niej opinię:
Geopartner Usługi Geodezyjne i Kartograficzne Konrad Szypowski ##503 890 844
Geopartner Usługi Geodezyjne Mgr Inż. Elżbieta Lubińska-Malejko ##506 560 930
Geopartner Usługi geodezyjne Tomasz Mrówczyński #         geopartner@geodezja.pl     #602 180 107
Geo-Pas Przedsiębiorstwo Geodezyjne Zbigniew Romanowski ##(55) 248 24 04
GeoPasja Studio Geodezyjne Bożena Pydynowska #         bozpyd@orange.pl     #695 579 705
Geopax Usługi Geodezyjne Bogusław Dziekan #         geopax@data.pl     #605 597 678
Geopel S.C. Zbigniew i Anna Drąg ##601 661 725
Geoperfect Agnieszka Pęska - Siwik #         geoperfect.peska@gmail.com     #606 632 666
Geo-Perfekt Paulina Kaczor #         biuro@geo-perfekt.pl     #507 570 709
Geo-Perfekt Przedsiębiorstwo Wielobranżowe Iwona Wiśniewska ##792 691 213
Geoperfekt. Usługi Geodezyjno-Kartograficzne.Daniel Jeleński #         daniel.jelenski@geodeta-police.pl     #885 606 061
Geopg Usługi Geodezyjne Grzegorz Pacud #         gpacud@gmail.com     #507 301 685
Geopik Usługi Geodezyjne Piotr Schmidt #         geopik@wp.pl     #516 085 234
Geopil Usługi Geodezyjno-Kartograficzne Anna Janużyk ##690 994 540
Geopil Usługi Geodezyjno-Kartograficzne Anna Janużyk #         biuro@geopil.pl     #690 994 540
Geopin Usługi Geodezyjno-Kartograficzno-Projektowe Krzysztof Białoskórski #         geodent@poczta.onet.pl     #602 623 427
Geopion Biuro Usług Geodezyjnych Kazimierz Garski ##(34) 315 49 61
Geopion Usługi Geodezyjne i Kartograficzne Paulina Bawęda #         biuro.geopion@gmail.com     #Oceń firmę i napisz o niej opinię:
Geo-Plan #         geo.plan@op.pl     #Oceń firmę i napisz o niej opinię:
Geoplan Andrzej Kwiatkowski #         biuro@geoplan.eu     #(42) 715 69 86
Geoplan Andrzej Kwiatkowski #         biuro@geoplan.eu     #693 651 350
Geo-Plan Firma Handlowo-Usługowa Zygmunt Piekarz ##509 703 864
Geoplan Fis Biuro Geodezyjno-Kartograficzne Fojcik Zenon ##605 982 000
GEOPLAN Geodezja WOJCIECH MARKOWICZ SYLWESTER ŚWIEŻAK #         w.markowicz@wp.pl     #Oceń firmę i napisz o niej opinię:
Geoplan Karol Kamiński-Andrzejuk #         geoplan@vp.pl     #608 619 324
Geoplan Łukasz Turlewicz #         lukaszturlewicz@o2.pl     #790 363 001
Geoplan Podciborscy #         geoplandp@wp.pl     #692 271 536
Geo-Plan Pracownia Geodezyjna Eugeniusz Baszuro Waldemar Baszuro #         waldek2404@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Geoplan Pracownia Geodezyjna Marek Łukowiak #         geomapa@op.pl     #(65) 546 77 55
Geo-Plan Pracownia Usług Geodezyjnych A. Sułek J. Sułek #         geoplan@onet.eu     #(14) 611 95 11
Geoplan Przedsiębiorstwo Usług Geodezyjnych Zdzisław Schabowski ##(12) 636 75 77
Geoplan S.C. #         geoplan_ostrowiec@wp.pl     #506 563 619
Geoplan S.C. #         geoplan-sc@wp.pl     #(91) 382 22 44
Geoplan S.C. B. Jarzyna K. Laskownicki Przedsiębiorstwo Usług Mierniczych #         geoplan91@op.pl     #(33) 852 14 11
Geoplan S.C. Przedsiębiorstwo Usług Geodezyjno-Kartograficznych #         geoplan@interia.pl     #(18) 266 43 93
Geoplan S.C. Przedsiębiorstwo Usług Geodezyjno-Kartograficznych ##(48) 664 21 27
Geo-Plan S.C. Usługi Geodezyjne #         geo_plansc@wp.pl     #501 182 305
Geoplan Sp. z o.o. Usługi Geodezyjno-Kartograficzne ##(83) 343 19 11
Geoplan Stanisław Podciborski Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych Inż.Stanisław Podciborski #         geoplan_pt@interia.pl     #(58) 687 73 65
Geoplan Usługi Geodezyjne G. Kamińska I. Walkowski-Walkiewicz #         geoplansc@wp.pl     #(46) 832 12 15
Geo-Plan Usługi Geodezyjne i Kartograficzno-Kreślarskie Ewa Kłos #         geoplansieradz@op.pl     #664 425 243
Geoplan Usługi Geodezyjno-Kartograficzne Mariusz Siuta ##(43) 823 78 68
Geoplan Usługi Geodezyjno-Kartograficzne Michał Rzewuski ##(58) 681 33 62
Geoplan Zakład Usług Geodezyjnych i Projektowych Piotr Korczak #         biuro@geoplan.co     #Oceń firmę i napisz o niej opinię:
Geoplan-Projekt Zakład Geodezyjno-Kartograficzny Michał Stasiak #         geoplan.js@interia.pl     #500 235 174
Geoplus Przedsiębiorstwo Informatyczno-Geodezyjno-Budowlane Andrzej Rubczewski #         geoplus@geoplus.pl     #(55) 237 94 00
Geo-Plus Rafał Ciulkin Usługi Geodezyjne #         geoplus.ciulkin@gmail.com     #Oceń firmę i napisz o niej opinię:
GEOPLUS Usługi Geodezyjne S.C. #         uggeoplus@gmail.com     #(58) 681 89 39
Geopluta Usługi Geodezyjne Krzysztof Pluta #         geopluta@wp.pl     #601 560 164
Geopoint - Usługi Geodezyjne Martyna Trela #         martyna.trela97@o2.pl     #696 122 339
