Stahler Karol Wójcik #         stahler@onet.pl     #508 438 323
Heliotech Krzysztof Chruszczewski #         krzysztof-proel@wp.pl     #510 091 922
Hildebrant Tomasz Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe #         biuro@hildebrant.pl     #(52) 303 21 53
Hogen S.C. Przedsiębiorstwo Handlowo-Usługowe ##602 348 313
Home Energy ##604 156 527
Hydraulik-Solarsystem Agnieszka Kurcius #         biuro@instalatorsanitarny.pl     #505 896 885
Hydroergia Sp. z o.o. Sp.k. #         biuro@hydroergia.pl     #(71) 716 53 79
Hydromonter Mariusz Kulczycki #         biuro@hydromonter.com.pl     #502 997 887
Hymon Energy Sp. z o.o. #         biuro@hymon.pl     #
Imix Sebastian Szymanek #         info@biopaliwaon.com.pl     #506 040 196
Industria Firma Handlowo-Usługowo-Budowlana Grzegorz Augustyńczyk #         kontakt@energiaekologiczna.com     #607 923 642
Instal-Jack Marian Pielasa #         instal-jack@wp.pl     #607 893 718
Instytut Oze Sp. z o.o. #         kontakt@instytutoze.pl     #(41) 301 00 23
Intel-Dom Michał Tymoczko #         biuro@intel-dom.eu     #503 193 548
In.Ventus Wind Sp. z o.o. Sp. K. #         info@in-ventus.com     #(61) 662 71 68
Invest-Mot Sp. z o.o. #         invest@invest-mot.com.pl     #(22) 658 64 45
JMB Sp. z o.o. Przedsiębiorstwo Innowacyjno-Wdrożeniowe #         edward@jmb.biz.pl     #(91) 418 19 96
Jpd Energia Odnawialna Sp. z o.o. #         jdobies@onet.eu     #692 653 639
J.S.Eco-Wind Sp. z o.o. ##695 860 350
Jubana Polska #         biuro@quadra-polska.pl     #(52) 324 21 12
Jurysta Energia Wiatrowa Obsługa Inwestycji Piotr Witkowski #         kancelaria@jurysta-ilawa.pl     #(89) 648 48 48
Juwi Ae Popowo Sp. z o.o. ##(65) 529 70 60
Kalyciok Romuald Import-Eksport ##(32) 414 92 12
Kamienica Elektrownia Wodna Józef Jaracz ##601 786 749
Kierzkowski Mirosław Zakład Usług Gazowniczych ##(71) 399 73 11
Klm-Energia Sp. z o.o. ##604 451 651
KNT Solar ##(71) 313 75 95
Kołodziejski Janusz Zakład Instalacji Elektrycznych #         janusz1952@o2.pl     #603 789 153
Krawietz Investstment Sp. z o.o. #         krawietz@onet.eu     #(81) 524 58 28
Krupy Wind Invest Sp. z o.o. ##(22) 548 47 71
Krzysztof Dwojak #         krzysztofdwojak@wp.pl     #539 329 859
Krzysztof Jackowski Electroproject #         kontakt@electroproject.pl     #888 300 075
Krzysztof Kaczmarek Neo Instalacje - Nowoczesne, Ekologiczne, Oszczędne #         info@neoinstalacje.pl     #661 774 385
Krzysztof Kleinert Firma Usługowa Odnawialne Źródła Energii i Instalacje Elektryczne #         k.kleinert@wp.pl     #
Kuraszyk Leszek Zakład Usługowo-Handlowy ##(83) 371 66 62
Kurczych Przedsiębiorstwo Handlowo-Usługowe Maciej Kurczych #         geoodwiertypionowe@gmail.com     #501 734 545
KWE Technika Energetyczna Sp. z o.o. ##(33) 821 65 62
Kwidzyn Sp. z o.o. Centrum Energii Odnawialnej ##(55) 279 70 79
Kwiecień Leszek Zakład Instalacyjny ##(12) 648 82 86
K.Wind Karol Kujawa #         karolkujawa@wp.pl     #
LAW &amp; Energy ##535 808 909
Lebart Bartosz Łogwiński i Wspólnik Sp.j. ##(83) 343 55 55
Leoterm Leszek Hak ##731 530 105
Level S.C. Grzegorz Piątkowski Krzysztofa Lewandowska ##(48) 623 74 85
Lukas Energy - Energia Odnawialna Łukasz Korsak #         korsak.luk@gmail.com     #
Marcin Kiwilsza Instalacje Fotowoltaiczne ##792 181 395
Mariusz Andrzejczak Odszkodowania Auta Zastępcze Energia Odnawialna ##604 900 079
Mateusz Klepuszewski Ekowoltaika #         Ekowoltaika@gmail.com     #729 913 399
Matrix Serwis Odnawialne Źródła Energii Jacek Folleher #         jfoll@wp.pl     #
MAZEKO ##504 433 630
MC-Serwis Marek Cygan #         mc_serwis@vp.pl     #697 097 907
M.E.K. Polska Sp. z o.o. ##507 026 956
Menlo Electric Sp. z o.o. #         kontakt@menloelectric.com     #535 697 729
Metal-Tech Janusz Nowaczewski ##507 092 051
Mew Śnieżka Sp. j. J.Baczyński R.Czajka ##606 199 933
MHS TECHNIKA GRZEWCZA SANITARNA ODNAWIALNE ŹRÓDŁA ENERGII Mikołaj Hildebrandt #         Mikolaj.hildebrandt@icloud.com     #728 640 339
Michał Kopeć Firma Usługowo Handlowa Eneridea ##508 590 807
Michał Stańczyk Promyk Instalacje Elektryczne Sanitarne Energia Odnawialna Sieci Zewnętrzne Roboty Budowlane Remonty Produkcja Handel ##698 286 134
Mikrobiogaz Kolonia Łaznów Dorota Kocięba #         t.kocieba@onet.eu     #692 515 015
MKD Sp. z o.o. #         mkd@poczta.fm     #(22) 427 83 76
MM Solar Marek Hintzke ##602 603 195
Modern Hst M.P. Prytulak Sp.j. ##(29) 764 56 28
Monika Chudzik Energia Odnawialna #         monikachudzik.eo@gmail.com     #
Motel Na-Wierzynka Restauracja Maryla S.C. A. J. Pasek ##(12) 278 36 14
M-System Bogdan Mazur #         mazbo@interia.pl     #515 444 855
M-System Bogdan Mazur ##515 444 855
MT-Instal Maciej Tomaszewski ##502 286 264
Multi Energa Kamil Maciejewski, Damian Osypowicz s.c. #         info@multienerga.pl     #661 453 045
MVA Green Energy S.A. w Organizacji ##510 166 110
Nadsan Krzysztof Śmietanko #         kontakt@nadsan.pl     #
Navigator S.C. Honorata Irla Piotr Tomaszewski ##505 553 037
Neo-Technika Grzewcza i Gazowa Krzyszkowiak Zbigniew ##602 234 655
Newcon Energy Polska Sp. z o.o. #         biuro@newconenergy.com     #
NIDUS Sp. z o.o. ##660 647 082
Niezależny Instytut Odnawialnych Źródeł Energii ##696 540 760
Noe- Isomax Lublin Sp. z o.o. #         isomaxlublin@o2.pl     #(81) 721 53 93
Odnawialne Źródła Energii - Instalacje Piotr Pióro #         oze.instalacje@onet.pl     #
Odnawialne Źródła Energii Development Sp. z o.o. ##534 157 255
Odnawialne Źródła Energii Dim Sp. z o.o. ##665 106 109
Odnawialne Źródła Energii Fundacja Ochrony Środowiska ##606 717 834
Odnawialne Źródła Energii Jarosław Podyma ##(68) 360 17 46
On Sp. z o.o. #         mp@on-eco.pl     #(17) 862 30 98
Optimal Energy Sp. z o.o. ##(42) 211 90 97
OSDE Sp. z o.o. #         info@osde.pl     #602 212 025
OZE Solutions Paweł Labiński ##600 596 050
Pan-Ele Hurtownia Energii Odnawialnej Sp. z o.o. #         biuro@pan-ele.pl     #
Paralaxa Energia Odnawialna Bogusław Wołczyński #         paralaxa.eo@gmail.com     #
Paulina Waręcka Montaż i Serwis Odnawialnych Źródeł Energii #         pa.warecka@gmail.com     #
Paweł Wita Eko System Odnawialne Źródła Energii Ślusarstwo Instalacji Wodno-Kan Oraz C.O. i Gaz ##693 875 657
Pcts Sp. z o.o. ##508 004 100
Petra Energia Sp. z o.o. #         info@petraenergia.pl     #(22) 721 72 70
PGE Energia Odnawialna S.A. #         sekretariat.eosa@gkpge.pl     #(22) 433 11 00
PGE Energia Odnawialna S.A. Oddział w Czymanowie #         ewz@ewz.pl     #(58) 676 73 10
PGE Energia Odnawialna S.A. Oddział w Dychowie ##(68) 383 84 77
PGE Energia Odnawialna S.A. Oddział w Międzybrodziu Bialskim #         sekretariat@zewpz.pl     #(33) 486 82 00
PGE Energia Odnawialna S.A. Oddział w Solinie ##(13) 492 12 00
Pge Paliwa Sp. z o.o. ##(12) 646 67 40
Pgmiw Sp. z o.o. ##602 647 411
PHU EKOTEC Marcin Pankowski Leszek Wolanowski S.C. ##796 071 907
PHU Lider-S ##604 587 589
P.H.U. OPTIMA Jan Bączek #         redakcja@instalhydro.pl     #501 238 763
Piotr Kuś Energia Odnawialna #         piotrkus14@gmail.com     #
Pko Energii Odnawialnej - Fundusz Inwestycyjny Zamknięty Aktywów Niepublicznych #         dpr@pkotfi.pl     #
Plejada Energia Odnawialna Fundusz Inwestycyjny Zamknięty Aktywów Niepublicznych #         biuro@opokatfi.pl     #(58) 761 00 01
PNBE Odnawialne Źródła Energii Z. J. Paczkowscy K. Smacki Sp.j. ##507 052 552
Poldom Paweł Wieczorek #         pwpoldom@op.pl     #502 081 432
Polish Wind Power Sp. z o.o. w Organizacji ##728 962 100
Polska Energetyka Odnawialna S.A. #         biuro@peosa.pl     #(22) 845 81 05
Polska Energia Odnawialna Marcin Szlaps ##502 439 420
Polska Energia Sp. z o.o. #         bok@polskaenergetykapro.pl     #801 911 611
Polska Grupa Energii Odnawialnej Sp. z o.o. ##536 799 769
Polska Grupa Inwestycje Ekologiczne Sp. z o.o. #         hanus@vp.pl     #600 051 039
Polska Grupa Odnawialnych Źródeł Energii Sp. z o.o. ##796 951 999
Polska Izba Gospodarcza Energii Odnawialnej #         biuro@pigeo.pl     #(22) 548 49 99
Polski Instytut Budownictwa Pasywnego I Energii Odnawialnej Imienia Güntera Schlagowskiego Non Profit Sp. z o.o. ##(58) 524 12 00
Polskie Centrum Energii Odnawialnej Sp. z o.o. #         biuro@solarpol.com.pl     #735 978 922
Polskie Parki Wiatrowe Sp. z o.o. #         biuro@parkiwiatrowe.pl     #609 554 707
Polskie Przedsiębiorstwo Energii Odnawialnej Sp. z o.o. #         bkubiczek@tlen.pl     #
Power Finance Sp. z o.o. ##502 496 320
Premium Business Partner Sp.zo.o Sp.k. #         biuro@premium-energia.pl     #601 506 297
Press Button ##(12) 655 48 57
Pro - Vento Jarosław Michalak ##511 787 888
Pro Eko Sp. z o.o #         biuro@proeko-pv.pl     #660 751 748
Pro Solare Sp.z o. o. #         biuro@prosolare.eu     #505 482 578
Proeko Odnawialne Źródła Energii Sp. z o.o. ##605 999 433
ProjektEx S.C. Ogrzewanie #         biuro@prx.pl     #608 586 466
Proj-Kon Grażyna Hermanowicz ##606 937 443
Projprzem Eko Sp. z o.o. ##(52) 384 00 25
Prokon New Energy Poland Sp. z o.o. ##(58) 342 46 23
Proland Krzysztof Łęcki ##(12) 312 18 95
Proland Krzysztof Łęcki #         biuro@proland.co     #507 132 600
Protech Przedsiębiorstwo Handlowo-Usługowe #         info@jakanie.net     #506 051 331
Przedsiębiorstwo Innowacyjno-Wdrożeniowe Techniki Ciepłowniczej Sanitarnej i Gazowej Instalator Handel Usługi #         ins@op.pl     #507 087 477
Przedsiębiorstwo Innowacyjnych Technologii Energia Sp. z o.o. w Organizacji ##501 525 970
Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Pol-Instal Sp. z o.o. ##609 539 839
Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Jotde S.C. J.A. Dudzińscy #         biuro@jotde.com.pl     #698 088 514
Pure Solutions ##513 070 486
PV Instalator Polska Łukasz Studziński #         lukaszstudzinski@me.com     #662 276 781
PV Instalator Polska Łukasz Studziński #         bialystok@pvinstalator.pl     #519 073 748
PV Solarin Sp. z o.o. #         biuro@pvsolarin.pl     #608 614 900
PV Technology Sp. z o.o. #         info@vitechnology.pl     #(42) 226 04 53
Pvtar-Energoprojekt Sp. z o.o. ##793 977 775
P.W. Magda A. Gęba Z. Połednik Sp.j. #         arturgeba@gmail.com     #609 484 384
Rafał Początek Elfreee-Energy Montaż Urządzeń Energii Odnawialnej #         czopontek12345@gmail.com     #
Rawicom Sp. z o.o. Sp.k. #         biuro@rawicom.pl     #889 791 721
Rb Zone R. Kożuch, B. Olkowski S.C. ##519 333 666
Red Snake Sp. z o.o. #         biuro@redsnake.pl     #
Reen Group Sp. z o.o. ##609 690 228
Regulus Polska Sp. z o.o. #         regulus.pol@op.pl     #695 677 456
REMOR SOLAR #         sprzedaz@remor.pl     #(95) 765 41 03
Renewable Energy Poland Bartłomiej Michał Fetraś #         info@renerpol.com     #604 928 956
Rensan Energy Sp. z o.o. ##(32) 722 03 95
RenVolt #         info@renvolt.com     #(52) 348 40 57
Revolton Sp. z o.o. ##(22) 657 02 25
RMS Polska Sp. z o.o. ##(17) 745 25 84
Road Solutions Radosław Własiuk ##602 401 205
Robert Maciejewski Solar-Tec #         solar-tec@o2.pl     #605 850 374
Robsol P.U.H. Robert Zientek #         r.zientek@op.pl     #695 237 933
Rubinsolar Sp. z o.o. ##(58) 738 97 70
SA-BA Sp. z o.o. #         sa-ba@data.pl     #502 522 557
SA-BA Spółka z o.o. ##(83) 352 70 17
San-Solar Piotr Granat #         san-solar@wp.pl     #691 384 800
Satec Ryszard Michalski ##602 818 427
Selfa S.A. Fotowoltaika #         info@selfa.pl     #(91) 814 63 00
Selfa S.A. Grzejnictwo Elektryczne ##(91) 814 63 00
Serwis AKPiA Roman Długi ##(61) 879 33 93
SEW Sp. z o.o. #         info@sew24.pl     #
Siga-Tech Zuchara Sp. K. ##(12) 413 62 88
Skorut Systemy Solarne Sp. z o.o. ##(12) 272 20 25
Słońce Sp. z o.o. #         biuroslonce@gmail.com     #
Sol Vitae Fundacja Promocji Zdrowia i Energii Odnawialnej ##660 442 293
Solar Eco Energia Centrum Odnawialnych Źródeł Energii i Techniki Grzewczej Jarosław Mielniczyn #         biuro@solarecoenergia.pl     #608 033 402
Solar Expert Artur Kabziński ##507 044 253
Solar Firma Handlowo-Usługowa ##606 838 717
Solar Investment Sp. z o.o. #         biuro@solarinvestmentgroup.pl     #
Solar Place Maciej Pączek ##504 176 884
Solarcom.Pl Marcin Mól ##608 786 418
Solares Kamil Wudarczyk ##783 308 651
SOLAREUS-ENERGY Marlena Letza #         solareus.energy@gmail.com     #513 470 819
Solarheat Angerman Spółka Jawna #         smokkowalski@poczta.onet.pl     #698 644 533
Solar-In Wojciech Mindykowski #         wojciech.mindykowski@wp.pl     #602 256 351
Solaris Zenon Masiarz ##607 439 089
Solaris-Eko Sp. z o.o. ##506 127 907
Solarmat Mateusz Ruszkowski ##609 196 692
Solarprojekt Construction Sp. z o.o. ##691 982 066
Solarprojekt Construction Sp. z o.o. Sp.k. #         biuro@solarprojekt.pl     #691 982 066
Solar-System S.C. ##515 155 900
Solar-Tech PHU ##793 386 309
SOLAR-WAW Sp. z o.o. #         damian.skwierawski@solar-waw.pl     #661 572 880
Solem Sp. z o.o. #         michal_strycharz@o2.pl     #790 557 746
Solenergia Sp. z o.o. ##(91) 469 44 57
Solis Sp. z o.o. ##602 216 141
Soliventus #         biuro@soliventus.pl     #(44) 788 47 73
Solmann S.C. M. Rojna L. Pieszczoch ##695 583 291
Solpax PPUH Adam Rółkowski #         a.rolkowski@solpax.pl     #785 698 545
SolProgres Energy #         solprogresenergy@gmail.com     #502 877 088
Sol-Tech Systemy Energii Odnawialnej Sebastian Król #         info@sol-tech.pl     #535 224 898
Spin Holding Sp. z o.o. ##(22) 298 65 68
Stanis Firma Usługowa #         brodst@poczta.onet.pl     #721 066 859
Stan-Lud Czesław Szymeczko #         malgosia1231@wp.pl     #
Stowarzyszenie Agroenergia im. Zbigniewa Czyża #         wierzbaodadoz@interia.pl     #602 454 364
Stowarzyszenie Dolnośląski Klaster Energii Odnawialnej ##(74) 853 50 09
Stowarzyszenie Energii Odnawialnej ##(22) 433 12 38
Stowarzyszenie Energii Odnawialnej i Technik Informacyjnych #         j.szewczun@wp.pl     #608 762 503
Stowarzyszenie Gmin Przyjaznych Energii Odnawialnej #         kobylnica@kobylnica.eu     #505 148 136
Stowarzyszenie Instytut Odnawialnych Źródeł Energii #         ioze@poczta.fm     #698 529 048
Stowarzyszenie Na Rzecz Efektywności i Rozwoju Odnawialnych Żródeł Energii Helios ##502 091 242
Stowarzyszenie Nadwiślański Klaster Energii Odnawialnej przy Kwidzyńskim Parku Przemysłowo Technologicznym ##692 844 244
Stowarzyszenie Prosument-Klaster Odnawialnych Źródeł Energii #         biuro@prosumentklasteroze.pl     #693 058 672
Strefa Energii #         biuro@strefaenergii.eu     #606 116 139
Studio Sergiel Architektoniczna Pracownia Realizacyjna ##513 455 979
Suneco Energia Odnawialna Montaż i Sprzedaż ##793 200 636
Sunen Sp. z o.o. #         info@sunen.eu     #603 771 236
Sunergy Jerzy Gryboś ##(91) 561 10 80
Sungor Energia Odnawialna Krzysztof Góra #         krzysiogg@wp.pl     #502 560 122
Sunpark Polska Sp. z o.o. #         office@sunpark.pl     #606 223 936
SUNSHARE Sp. z o.o. #         kontakt@sunshare.pl     #729 871 806
Suntechnik #         uwagi@kingtony.com.pl     #618 107 878
Supernova Energy - Energia Odnawialna w Domu i Firmie #         supernova@supernovaenergy.pl     #(91) 818 59 77
Systemy Energii Odnawialnej Seo-Tec Włodzimierz Gamrat #         biuro@seo-tec.pl     #667 747 371
Systemy Energii Odnawialnej Sp. z o.o. ##669 779 313
Szerszeń Marcin Inżynieria Lądowa ##506 253 636
Technologie Energii Odnawialnej Radosław Posmyk #         radek.posmyk@gmail.com     #
Term-Gaz Jan Chrobak #         biuro@termgaz.pl     #(33) 810 13 51
TG Technika Grzewcza #         tg.mariusz@gmail.com     #
Towarzystwo Przyjaciół Energii Odnawialnej ##(85) 681 21 17
Trading Group Poland Daria Jasica #         info@solarsystemy.pl     #607 909 003
Tutak Jacek #         jacektutak944@wp.pl     #
Tytan Odnawialne Źródła Energii #         biuro@tytanco.eu     #601 565 656
Unam Group Polska Sp. z o.o. #         marketing@unamgroup.pl     #(67) 256 14 05
Urbis Przedsiębiorstwo Energetyki i Budownictwa #         biuro@urbis.torun.pl     #602 399 491
Usługowy Zakład Wod.-Kan.-Gaz. Józef Lis #         wodkangazlis@interia.pl     #603 675 078
Veelman Sp. z o.o. #         info@veelman.com     #(13) 420 47 43
Vent Energy Operator Sp. z o.o. #         biuro@ventenergy.pl     #(42) 236 75 65
Visum Sp. z o.o. ##600 832 077
Warmińsko-Mazurskie Stowarzyszenie Energii Odnawialnej ##602 424 329
Wasta S.C. Beata Wardęga, Piotr Wardęga #         fotowoltaika.kepno@gmail.com     #518 973 923
Wecor Sp. z o.o. #         marketing@wecor.pl     #
Wind Expert Energia Odnawialna S.C. ##660 414 820
Windstrom Polska Energia Innowacyjna Sp. z o.o. ##(61) 885 71 02
Windstrom Polska Energia Odnawialna Sp. z o.o. ##(61) 824 51 10
Własny Prąd #         biuro@wlasnyprad.eu     #726 844 288
Wooden Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Krzysztof Dziuban #         dziuban1@poczta.onet.pl     #515 118 498
Wp Energy Sp. z o.o. #         biuro@wpenergy.pl     #571 870 714
Wrzosek Firma Handlowo-Produkcyjna Lucjan Wrzosek ##607 364 680
WTW Mrągowo #         info@wtw-poland.com     #695 639 657
Zagórski Krzysztof ##(68) 372 45 45
Zakład Energii Odnawialnej Sp. z o.o. #         hubert.czajowski@proequity.pl     #
Zakład Technologii Gorzelnictwa i Odnawialnych Źródeł Energii ##(52) 341 00 82
Zbigniew Bukowiec Hybrydowe Instalacje Odnawialnych Źródeł Energii #         bucoviec@gmail.com     #
